Car_ID,Brand,Model,Year,Fuel_Type,Transmission,Price,Mileage,Engine_CC,Seating_Capacity,Service_Cost,Cluster
73.0,Honda,WR-V,2021.0,Electric,Automatic,1.0,3.0,1500.0,4.0,1.0,2
74.0,Mahindra,Thar,2022.0,Diesel,Manual,3.0,3.0,1500.0,6.0,2.0,2
75.0,Toyota,Glanza,2016.0,Diesel,Manual,3.0,1.0,1000.0,4.0,1.0,0
76.0,Mahindra,XUV300,2022.0,Petrol,Automatic,2.0,1.0,1800.0,6.0,1.0,0
77.0,Tata Motors,Punch,2019.0,Petrol,Manual,2.0,2.0,2000.0,5.0,1.0,1
78.0,Hyundai,i20,2018.0,Diesel,Automatic,2.0,2.0,2500.0,5.0,2.0,1
79.0,Honda,Civic,2024.0,Diesel,Automatic,2.0,3.0,2500.0,5.0,2.0,1
80.0,Tata Motors,Altroz,2018.0,CNG,Manual,2.0,2.0,800.0,6.0,3.0,2
81.0,Skoda,Octavia,2020.0,Diesel,Automatic,1.0,3.0,2500.0,5.0,2.0,1
82.0,Volkswagen,Taigun,2020.0,Diesel,Manual,2.0,1.0,1800.0,4.0,3.0,0
83.0,Maruti Suzuki,Swift,2017.0,Petrol,Automatic,2.0,1.0,1000.0,4.0,2.0,0
84.0,Toyota,Urban Cruiser,2022.0,Diesel,Automatic,1.0,2.0,1800.0,5.0,2.0,1
85.0,Skoda,Kushaq,2021.0,Electric,Automatic,2.0,3.0,1000.0,5.0,2.0,2
86.0,Kia,Carnival,2022.0,Petrol,Automatic,2.0,2.0,2000.0,5.0,2.0,1
87.0,Kia,EV6,2016.0,Diesel,Automatic,2.0,1.0,2000.0,6.0,3.0,1
88.0,Renault,Lodgy,2016.0,CNG,Manual,1.0,3.0,1800.0,5.0,2.0,2
89.0,Toyota,Fortuner,2016.0,CNG,Manual,2.0,3.0,1000.0,4.0,3.0,2
90.0,Hyundai,i20,2017.0,Petrol,Automatic,2.0,1.0,1800.0,7.0,1.0,1
91.0,Volkswagen,Vento,2018.0,Electric,Manual,2.0,1.0,1200.0,5.0,2.0,0
92.0,Hyundai,i20,2015.0,Diesel,Manual,2.0,2.0,1000.0,4.0,2.0,0
93.0,Volkswagen,Taigun,2021.0,CNG,Manual,3.0,2.0,1000.0,4.0,2.0,0
94.0,Tata Motors,Nexon,2023.0,Electric,Automatic,2.0,2.0,2000.0,7.0,1.0,1
95.0,Toyota,Innova,2018.0,Electric,Manual,2.0,2.0,800.0,5.0,2.0,0
96.0,Volkswagen,Polo,2018.0,CNG,Manual,3.0,1.0,1500.0,6.0,3.0,0
97.0,Honda,Civic,2017.0,CNG,Automatic,2.0,2.0,800.0,4.0,3.0,0
98.0,Maruti Suzuki,Baleno,2020.0,Diesel,Manual,2.0,3.0,1200.0,7.0,2.0,2
99.0,Hyundai,Verna,2017.0,Diesel,Automatic,3.0,2.0,1000.0,6.0,2.0,2
100.0,Hyundai,Creta,2020.0,Electric,Automatic,2.0,1.0,1000.0,5.0,3.0,0
101.0,Toyota,Innova,2020.0,Diesel,Manual,2.0,3.0,1800.0,5.0,1.0,2
102.0,Maruti Suzuki,Ertiga,2015.0,Diesel,Automatic,3.0,2.0,1000.0,4.0,1.0,0
103.0,Skoda,Kushaq,2019.0,Petrol,Automatic,2.0,2.0,800.0,4.0,3.0,0
104.0,Tata Motors,Tiago,2019.0,Diesel,Automatic,2.0,1.0,2000.0,6.0,2.0,1
105.0,Mahindra,Thar,2021.0,Petrol,Manual,2.0,2.0,2000.0,4.0,2.0,1
106.0,Tata Motors,Altroz,2015.0,Petrol,Manual,2.0,3.0,1800.0,6.0,2.0,2
107.0,Toyota,Urban Cruiser,2018.0,Electric,Automatic,3.0,1.0,1500.0,6.0,2.0,0
108.0,Skoda,Kushaq,2018.0,Electric,Automatic,2.0,2.0,2000.0,5.0,3.0,1
109.0,Tata Motors,Nexon,2020.0,Diesel,Automatic,2.0,3.0,1000.0,5.0,2.0,2
110.0,Kia,Carens,2022.0,Petrol,Manual,2.0,2.0,2500.0,7.0,1.0,1
111.0,Honda,Amaze,2024.0,Diesel,Manual,2.0,2.0,800.0,6.0,1.0,2
112.0,Honda,Amaze,2018.0,Diesel,Manual,2.0,2.0,800.0,5.0,2.0,0
113.0,Maruti Suzuki,Baleno,2018.0,Electric,Manual,2.0,2.0,1200.0,7.0,2.0,2
114.0,Maruti Suzuki,Ertiga,2020.0,Petrol,Automatic,3.0,2.0,1500.0,4.0,1.0,0
115.0,Maruti Suzuki,Baleno,2023.0,Petrol,Manual,1.0,3.0,800.0,4.0,2.0,2
116.0,Maruti Suzuki,Baleno,2023.0,CNG,Manual,3.0,3.0,1000.0,7.0,2.0,2
117.0,Hyundai,Venue,2023.0,Petrol,Manual,3.0,3.0,1000.0,4.0,3.0,2
118.0,Honda,Amaze,2018.0,Electric,Manual,2.0,1.0,1000.0,7.0,3.0,0
119.0,Honda,Jazz,2019.0,CNG,Automatic,2.0,1.0,1000.0,5.0,2.0,0
120.0,Toyota,Innova,2017.0,Electric,Automatic,2.0,2.0,1800.0,4.0,3.0,0
121.0,Kia,Sonet,2018.0,Diesel,Automatic,2.0,3.0,1500.0,6.0,1.0,2
122.0,Honda,Jazz,2016.0,CNG,Automatic,2.0,3.0,2000.0,6.0,2.0,1
123.0,Honda,WR-V,2023.0,Electric,Automatic,3.0,1.0,800.0,7.0,2.0,0
124.0,Toyota,Innova,2021.0,Diesel,Manual,2.0,2.0,1200.0,5.0,3.0,0
125.0,Skoda,Slavia,2023.0,Electric,Manual,2.0,2.0,2000.0,4.0,2.0,1
126.0,Toyota,Urban Cruiser,2021.0,CNG,Automatic,2.0,2.0,2000.0,5.0,1.0,1
127.0,Renault,Lodgy,2023.0,Petrol,Automatic,2.0,3.0,2000.0,6.0,3.0,1
128.0,Honda,City,2017.0,Electric,Manual,3.0,3.0,1500.0,5.0,1.0,2
129.0,Skoda,Kushaq,2018.0,Diesel,Automatic,2.0,2.0,1800.0,5.0,3.0,1
130.0,Renault,Kiger,2015.0,Petrol,Manual,2.0,2.0,1200.0,7.0,2.0,2
131.0,Kia,EV6,2023.0,Diesel,Automatic,2.0,3.0,1500.0,6.0,2.0,2
132.0,Renault,Kwid,2019.0,CNG,Automatic,2.0,1.0,1200.0,7.0,1.0,0
133.0,Mahindra,Scorpio,2019.0,Diesel,Manual,2.0,3.0,2000.0,4.0,3.0,1
134.0,Maruti Suzuki,Dzire,2024.0,CNG,Manual,3.0,3.0,1200.0,7.0,2.0,2
135.0,Skoda,Rapid,2023.0,Diesel,Automatic,2.0,3.0,2000.0,7.0,2.0,2
136.0,Honda,Civic,2019.0,Petrol,Manual,2.0,2.0,800.0,7.0,2.0,2
137.0,Tata Motors,Harrier,2021.0,Petrol,Automatic,2.0,3.0,2500.0,4.0,2.0,1
138.0,Kia,Carnival,2024.0,Diesel,Manual,2.0,2.0,2000.0,5.0,3.0,1
139.0,Mahindra,XUV700,2017.0,Diesel,Automatic,1.0,2.0,2500.0,6.0,3.0,1
140.0,Hyundai,Verna,2021.0,Electric,Manual,2.0,2.0,800.0,5.0,1.0,0
141.0,Skoda,Kushaq,2024.0,CNG,Automatic,2.0,3.0,1500.0,7.0,1.0,2
142.0,Maruti Suzuki,Ertiga,2015.0,CNG,Automatic,2.0,3.0,1500.0,5.0,2.0,2
143.0,Honda,City,2018.0,Electric,Automatic,3.0,1.0,1200.0,6.0,2.0,0
144.0,Kia,Carens,2022.0,CNG,Automatic,2.0,2.0,2000.0,6.0,2.0,1
145.0,Honda,City,2018.0,CNG,Manual,2.0,2.0,1000.0,6.0,2.0,2
146.0,Skoda,Superb,2024.0,Electric,Manual,2.0,2.0,1500.0,6.0,1.0,2
147.0,Honda,Civic,2022.0,Diesel,Automatic,2.0,2.0,1800.0,5.0,3.0,1
148.0,Toyota,Glanza,2017.0,Electric,Manual,3.0,3.0,1800.0,4.0,3.0,1
149.0,Renault,Duster,2023.0,Petrol,Manual,3.0,2.0,1200.0,7.0,1.0,2
150.0,Volkswagen,Vento,2018.0,Electric,Manual,2.0,2.0,1500.0,4.0,1.0,0
151.0,Volkswagen,Polo,2023.0,CNG,Manual,3.0,2.0,2000.0,4.0,3.0,1
152.0,Mahindra,XUV700,2024.0,Petrol,Automatic,2.0,2.0,1800.0,7.0,3.0,1
153.0,Volkswagen,Polo,2016.0,Diesel,Automatic,3.0,2.0,1000.0,7.0,1.0,2
154.0,Honda,Civic,2022.0,Electric,Automatic,2.0,3.0,800.0,5.0,2.0,2
155.0,Renault,Lodgy,2023.0,Diesel,Automatic,2.0,2.0,2000.0,6.0,1.0,1
156.0,Hyundai,i20,2023.0,Electric,Manual,2.0,2.0,800.0,5.0,2.0,0
157.0,Skoda,Superb,2023.0,Electric,Automatic,3.0,1.0,2500.0,4.0,1.0,1
158.0,Volkswagen,Taigun,2016.0,Electric,Manual,2.0,1.0,1800.0,7.0,3.0,1
159.0,Kia,Sonet,2015.0,Petrol,Automatic,2.0,2.0,1200.0,4.0,2.0,0
160.0,Kia,Seltos,2019.0,CNG,Automatic,2.0,2.0,2500.0,4.0,2.0,1
161.0,Mahindra,Bolero,2023.0,Petrol,Manual,3.0,3.0,1200.0,5.0,2.0,2
162.0,Kia,Seltos,2023.0,CNG,Manual,2.0,3.0,1000.0,4.0,1.0,2
163.0,Skoda,Kushaq,2024.0,Electric,Automatic,2.0,2.0,1800.0,6.0,3.0,1
164.0,Honda,Amaze,2023.0,Diesel,Automatic,1.0,3.0,1500.0,4.0,2.0,2
165.0,Volkswagen,Vento,2019.0,CNG,Manual,2.0,2.0,1500.0,4.0,2.0,0
166.0,Mahindra,XUV700,2016.0,Petrol,Automatic,3.0,1.0,1800.0,6.0,2.0,0
167.0,Renault,Kiger,2015.0,Petrol,Manual,2.0,2.0,800.0,4.0,2.0,0
168.0,Renault,Kwid,2024.0,Petrol,Manual,2.0,2.0,1200.0,6.0,2.0,2
169.0,Toyota,Glanza,2015.0,Diesel,Manual,1.0,2.0,2500.0,7.0,3.0,1
170.0,Renault,Kiger,2017.0,Electric,Automatic,3.0,2.0,800.0,5.0,3.0,0
171.0,Mahindra,XUV300,2021.0,Diesel,Automatic,1.0,2.0,1800.0,4.0,2.0,0
172.0,Renault,Kwid,2018.0,CNG,Manual,2.0,1.0,1000.0,4.0,2.0,0
173.0,Mahindra,Scorpio,2015.0,Electric,Manual,2.0,3.0,1500.0,7.0,1.0,2
174.0,Mahindra,Scorpio,2016.0,Electric,Manual,2.0,2.0,2500.0,5.0,3.0,1
175.0,Maruti Suzuki,Ertiga,2016.0,CNG,Automatic,3.0,2.0,1200.0,5.0,2.0,0
176.0,Hyundai,i10,2019.0,CNG,Manual,2.0,1.0,1500.0,7.0,2.0,0
177.0,Skoda,Superb,2015.0,CNG,Manual,2.0,2.0,1000.0,6.0,2.0,2
178.0,Volkswagen,Vento,2022.0,Petrol,Automatic,2.0,1.0,2500.0,7.0,2.0,1
179.0,Mahindra,Bolero,2016.0,CNG,Manual,1.0,1.0,1000.0,7.0,3.0,0
180.0,Volkswagen,Vento,2022.0,Petrol,Manual,2.0,2.0,2500.0,6.0,3.0,1
181.0,Toyota,Urban Cruiser,2019.0,Petrol,Manual,1.0,2.0,2500.0,6.0,3.0,1
182.0,Maruti Suzuki,Baleno,2021.0,Electric,Automatic,1.0,3.0,1800.0,7.0,2.0,2
183.0,Kia,Carens,2021.0,Electric,Automatic,1.0,3.0,1800.0,6.0,2.0,2
184.0,Hyundai,Verna,2022.0,Electric,Automatic,2.0,3.0,1500.0,7.0,2.0,2
185.0,Toyota,Innova,2015.0,Electric,Manual,2.0,3.0,1200.0,4.0,3.0,2
186.0,Tata Motors,Tiago,2016.0,Electric,Manual,2.0,1.0,800.0,7.0,3.0,0
187.0,Honda,Amaze,2020.0,Diesel,Manual,3.0,2.0,1000.0,4.0,3.0,0
188.0,Kia,Seltos,2015.0,Petrol,Manual,2.0,2.0,1000.0,7.0,2.0,2
189.0,Volkswagen,Polo,2017.0,CNG,Automatic,2.0,1.0,1800.0,7.0,1.0,1
190.0,Kia,EV6,2019.0,Diesel,Automatic,2.0,2.0,1000.0,5.0,2.0,0
191.0,Tata Motors,Tiago,2017.0,Petrol,Manual,2.0,3.0,1500.0,6.0,2.0,2
192.0,Renault,Triber,2021.0,Diesel,Automatic,2.0,2.0,1500.0,4.0,1.0,0
193.0,Mahindra,Bolero,2021.0,Petrol,Manual,2.0,1.0,1800.0,4.0,1.0,0
194.0,Hyundai,Creta,2019.0,Electric,Automatic,2.0,1.0,800.0,6.0,2.0,0
195.0,Hyundai,Venue,2019.0,CNG,Manual,2.0,3.0,1000.0,7.0,2.0,2
196.0,Mahindra,Thar,2024.0,Diesel,Automatic,3.0,2.0,1500.0,5.0,1.0,0
197.0,Toyota,Fortuner,2024.0,Petrol,Automatic,2.0,2.0,1800.0,7.0,3.0,1
198.0,Honda,Amaze,2018.0,Diesel,Automatic,2.0,2.0,2000.0,5.0,1.0,1
199.0,Honda,Civic,2015.0,Electric,Automatic,2.0,2.0,2500.0,4.0,2.0,1
200.0,Renault,Lodgy,2019.0,Electric,Manual,2.0,2.0,2500.0,6.0,3.0,1
201.0,Toyota,Glanza,2017.0,Electric,Automatic,2.0,1.0,2000.0,7.0,2.0,1
202.0,Volkswagen,Tiguan,2018.0,Petrol,Manual,2.0,3.0,800.0,4.0,3.0,2
203.0,Skoda,Kushaq,2016.0,Electric,Automatic,2.0,2.0,800.0,4.0,1.0,0
204.0,Skoda,Superb,2018.0,Electric,Manual,2.0,1.0,800.0,6.0,3.0,0
205.0,Honda,Civic,2022.0,Diesel,Manual,2.0,2.0,1500.0,4.0,2.0,0
206.0,Toyota,Urban Cruiser,2016.0,Petrol,Automatic,2.0,3.0,2000.0,6.0,1.0,1
207.0,Kia,EV6,2017.0,Diesel,Manual,2.0,2.0,1000.0,6.0,2.0,2
208.0,Volkswagen,Vento,2020.0,Electric,Automatic,2.0,3.0,1000.0,4.0,2.0,2
209.0,Hyundai,Venue,2022.0,Electric,Manual,2.0,1.0,1800.0,6.0,1.0,0
210.0,Hyundai,i10,2019.0,Electric,Manual,2.0,2.0,800.0,4.0,2.0,0
211.0,Honda,WR-V,2018.0,Diesel,Manual,1.0,2.0,800.0,4.0,1.0,0
212.0,Kia,Carens,2023.0,CNG,Automatic,2.0,2.0,800.0,6.0,2.0,2
213.0,Mahindra,XUV300,2022.0,Electric,Manual,2.0,2.0,1200.0,7.0,2.0,2
214.0,Hyundai,i20,2024.0,CNG,Manual,2.0,3.0,1800.0,7.0,1.0,2
215.0,Volkswagen,Polo,2016.0,Electric,Manual,2.0,2.0,1500.0,7.0,3.0,2
216.0,Renault,Duster,2023.0,Petrol,Manual,2.0,2.0,1000.0,6.0,2.0,2
217.0,Renault,Triber,2021.0,Diesel,Manual,1.0,3.0,800.0,7.0,2.0,2
218.0,Renault,Triber,2022.0,CNG,Manual,3.0,3.0,2000.0,7.0,2.0,2
219.0,Skoda,Octavia,2016.0,Electric,Manual,2.0,1.0,800.0,7.0,1.0,0
220.0,Renault,Kwid,2019.0,Petrol,Manual,2.0,2.0,1200.0,5.0,2.0,0
221.0,Skoda,Rapid,2018.0,Electric,Automatic,1.0,2.0,1000.0,4.0,2.0,0
222.0,Kia,EV6,2020.0,Electric,Manual,2.0,2.0,1200.0,7.0,2.0,2
223.0,Tata Motors,Harrier,2019.0,Electric,Automatic,2.0,2.0,1500.0,7.0,2.0,2
224.0,Mahindra,Thar,2019.0,CNG,Automatic,2.0,2.0,1200.0,6.0,3.0,2
225.0,Volkswagen,Virtus,2016.0,Electric,Automatic,2.0,3.0,1200.0,6.0,3.0,2
226.0,Toyota,Glanza,2016.0,Electric,Automatic,2.0,1.0,1000.0,5.0,1.0,0
227.0,Honda,City,2019.0,Diesel,Automatic,2.0,3.0,800.0,7.0,2.0,2
228.0,Hyundai,i20,2022.0,Petrol,Automatic,3.0,3.0,2500.0,4.0,3.0,1
229.0,Tata Motors,Nexon,2021.0,Diesel,Automatic,3.0,1.0,800.0,5.0,2.0,0
230.0,Hyundai,i10,2018.0,CNG,Manual,3.0,1.0,1500.0,5.0,2.0,0
231.0,Volkswagen,Taigun,2020.0,Diesel,Manual,2.0,2.0,1800.0,4.0,2.0,0
232.0,Skoda,Rapid,2018.0,Diesel,Manual,2.0,3.0,1800.0,4.0,1.0,1
233.0,Skoda,Kushaq,2016.0,Petrol,Automatic,2.0,1.0,1000.0,7.0,2.0,0
234.0,Skoda,Slavia,2018.0,CNG,Manual,3.0,1.0,1000.0,4.0,1.0,0
235.0,Mahindra,XUV700,2020.0,CNG,Manual,2.0,2.0,1200.0,6.0,2.0,2
236.0,Honda,Amaze,2021.0,Electric,Automatic,2.0,3.0,2500.0,5.0,1.0,1
237.0,Tata Motors,Punch,2019.0,Electric,Automatic,2.0,1.0,2000.0,4.0,2.0,0
238.0,Toyota,Camry,2024.0,Petrol,Manual,2.0,2.0,1000.0,4.0,3.0,0
239.0,Mahindra,XUV300,2023.0,Diesel,Manual,2.0,1.0,1000.0,6.0,1.0,0
240.0,Kia,Sonet,2019.0,CNG,Manual,3.0,1.0,1800.0,6.0,2.0,0
241.0,Toyota,Camry,2023.0,Electric,Manual,2.0,2.0,1800.0,4.0,2.0,0
242.0,Maruti Suzuki,Dzire,2018.0,Electric,Manual,2.0,1.0,1200.0,5.0,3.0,0
243.0,Tata Motors,Harrier,2015.0,Petrol,Manual,2.0,2.0,2000.0,6.0,2.0,1
244.0,Toyota,Innova,2022.0,Diesel,Automatic,2.0,1.0,2000.0,4.0,3.0,0
245.0,Tata Motors,Harrier,2018.0,Petrol,Automatic,1.0,2.0,1000.0,6.0,1.0,2
246.0,Hyundai,Creta,2022.0,Diesel,Automatic,2.0,2.0,1800.0,4.0,3.0,0
247.0,Mahindra,XUV300,2021.0,Petrol,Manual,2.0,3.0,2000.0,7.0,2.0,2
248.0,Honda,Jazz,2017.0,CNG,Automatic,2.0,1.0,1800.0,5.0,3.0,0
249.0,Kia,Sonet,2022.0,Petrol,Automatic,2.0,3.0,1800.0,7.0,2.0,2
250.0,Volkswagen,Polo,2024.0,Petrol,Automatic,2.0,3.0,2500.0,6.0,1.0,1
251.0,Honda,City,2017.0,Diesel,Automatic,2.0,1.0,1200.0,5.0,3.0,0
252.0,Hyundai,Creta,2024.0,CNG,Manual,2.0,1.0,2000.0,7.0,2.0,1
253.0,Hyundai,Creta,2023.0,Petrol,Automatic,2.0,2.0,1200.0,6.0,3.0,2
254.0,Tata Motors,Punch,2015.0,Electric,Automatic,3.0,1.0,1800.0,4.0,1.0,0
255.0,Maruti Suzuki,Ertiga,2023.0,Electric,Manual,3.0,2.0,1800.0,4.0,1.0,0
256.0,Renault,Kwid,2019.0,Electric,Automatic,1.0,1.0,1000.0,4.0,1.0,0
257.0,Renault,Kiger,2020.0,Electric,Automatic,2.0,1.0,1800.0,4.0,2.0,0
258.0,Hyundai,i20,2021.0,Electric,Manual,3.0,2.0,800.0,7.0,1.0,2
259.0,Mahindra,XUV300,2019.0,CNG,Manual,3.0,2.0,1000.0,7.0,2.0,2
260.0,Honda,WR-V,2022.0,Diesel,Automatic,2.0,1.0,2000.0,4.0,1.0,0
261.0,Skoda,Rapid,2019.0,CNG,Automatic,2.0,1.0,1800.0,4.0,3.0,0
262.0,Maruti Suzuki,WagonR,2023.0,Petrol,Manual,1.0,2.0,1000.0,5.0,3.0,0
263.0,Kia,Sonet,2023.0,Petrol,Automatic,2.0,2.0,800.0,5.0,1.0,0
264.0,Toyota,Glanza,2022.0,CNG,Manual,2.0,2.0,2500.0,5.0,1.0,1
265.0,Volkswagen,Polo,2022.0,Diesel,Manual,2.0,1.0,2000.0,7.0,3.0,1
266.0,Honda,Amaze,2021.0,Diesel,Manual,2.0,2.0,1500.0,4.0,2.0,0
267.0,Honda,Civic,2023.0,Petrol,Manual,2.0,1.0,1000.0,4.0,2.0,0
268.0,Kia,Sonet,2016.0,Petrol,Manual,2.0,2.0,1200.0,7.0,2.0,2
269.0,Volkswagen,Virtus,2018.0,Diesel,Automatic,3.0,3.0,1000.0,7.0,2.0,2
270.0,Renault,Kwid,2016.0,Electric,Automatic,3.0,3.0,2000.0,5.0,1.0,1
271.0,Maruti Suzuki,WagonR,2022.0,Electric,Manual,1.0,2.0,1000.0,4.0,3.0,0
